drug,effect,cosine_similarities
['para-aminosalicylic acid'],['hypoglycaemic coma'],"[('para-aminosalicylic acid', 'hypoglycaemic coma', np.float32(0.6447847))]"
['ptu'],['hepatitis'],"[('ptu', 'hepatitis', np.float32(0.79092395))]"
[],['glaucoma'],"[(None, None, None)]"
"['pyrilamine maleate', 'pentobarbital']",['toxic encephalopathy'],"[('pyrilamine maleate', 'toxic encephalopathy', np.float32(0.80121696)), ('pentobarbital', 'toxic encephalopathy', np.float32(0.79214865))]"
['cyclosporin'],[],"[(None, None, None)]"
['adriamycin'],['cardiotoxicity'],"[('adriamycin', 'cardiotoxicity', np.float32(0.9345879))]"
[],['insomnia'],"[(None, None, None)]"
['ciprofloxacin'],['interstitial nephritis'],"[('ciprofloxacin', 'interstitial nephritis', np.float32(0.8577792))]"
['sunitinib'],[],"[(None, None, None)]"
['methimazole'],['aa'],"[('methimazole', 'aa', np.float32(0.9563124))]"
['perhexiline maleate'],['liver disease'],"[('perhexiline maleate', 'liver disease', np.float32(0.8057902))]"
"['cephalosporin', 'moxalactam']",['coagulopathy'],"[('cephalosporin', 'coagulopathy', np.float32(0.9854869)), ('moxalactam', 'coagulopathy', np.float32(0.9758671))]"
['lasik'],['traumatic flap dehiscence'],"[('lasik', 'traumatic flap dehiscence', np.float32(0.9880911))]"
['fludarabine'],['aiha'],"[('fludarabine', 'aiha', np.float32(0.91691154))]"
['propylthiouracil'],['fulminant hepatitis'],"[('propylthiouracil', 'fulminant hepatitis', np.float32(0.863218))]"
"['d-penicillamine', 'bucillamine']","['giant hypertrophy', 'mammary hyperplasia']","[('d-penicillamine', 'giant hypertrophy', None), ('d-penicillamine', 'mammary hyperplasia', None), ('bucillamine', 'giant hypertrophy', np.float32(0.99369466)), ('bucillamine', 'mammary hyperplasia', np.float32(0.9883779))]"
"['methotrexate', 'etretinate']",['toxic hepatitis'],"[('methotrexate', 'toxic hepatitis', np.float32(0.5451918)), ('etretinate', 'toxic hepatitis', np.float32(0.7418846))]"
['lithium'],[],"[(None, None, None)]"
['lithium'],['exophthalmos'],"[('lithium', 'exophthalmos', np.float32(0.80275804))]"
[],['pain syndrome'],"[(None, None, None)]"
"['simvastatin', 'colchicine']",['acute weakness'],"[('simvastatin', 'acute weakness', np.float32(0.81602854)), ('colchicine', 'acute weakness', np.float32(0.7898523))]"
"['carbamazepine', 'cbz']",[],"[(None, None, None)]"
['clofazimine'],['intra-neural ceroid-like pigment'],"[('clofazimine', 'intra-neural ceroid-like pigment', np.float32(0.979396))]"
['dapsone'],[],"[(None, None, None)]"
['lansoprazole'],['thrombocytopenia'],"[('lansoprazole', 'thrombocytopenia', np.float32(0.76211655))]"
"['fentanyl', 'ssris']",['serotonin syndrome'],"[('fentanyl', 'serotonin syndrome', np.float32(0.6365795)), ('ssris', 'serotonin syndrome', np.float32(0.68075377))]"
['lamotrigine'],"['ten', 'sjs']","[('lamotrigine', 'ten', np.float32(0.7966075)), ('lamotrigine', 'sjs', np.float32(0.85314673))]"
[],[],"[(None, None, None)]"
"['auranofin', 'tolmetin']",['gold nephropathy'],"[('auranofin', 'gold nephropathy', np.float32(0.9670303)), ('tolmetin', 'gold nephropathy', np.float32(0.96498305))]"
['prednisolone'],"['immunosuppression', 'generalized mite infestation']","[('prednisolone', 'immunosuppression', np.float32(0.7731432)), ('prednisolone', 'generalized mite infestation', np.float32(0.8890677))]"
"['cs', 'corticosteroid']",['leishmania infantum leishmaniasis'],"[('cs', 'leishmania infantum leishmaniasis', np.float32(0.93867135)), ('corticosteroid', 'leishmania infantum leishmaniasis', np.float32(0.9644366))]"
"['clozapine', 'clomipramine']",[],"[(None, None, None)]"
['thalidomide'],['sensorimotor axonal neuropathy'],"[('thalidomide', 'sensorimotor axonal neuropathy', np.float32(0.94367903))]"
['captopril'],['bullous lichenoid eruption'],"[('captopril', 'bullous lichenoid eruption', np.float32(0.9395805))]"
['valproic acid'],[],"[(None, None, None)]"
['clofazimine'],['severe abdominal pain'],"[('clofazimine', 'severe abdominal pain', np.float32(0.79437876))]"
['verapamil'],"['dyspnea', 'acute asthma attack']","[('verapamil', 'dyspnea', np.float32(0.78791016)), ('verapamil', 'acute asthma attack', np.float32(0.73200846))]"
['quinine sulfate'],[],"[(None, None, None)]"
['diphenylhydantoin'],['porphyria'],"[('diphenylhydantoin', 'porphyria', np.float32(0.9791288))]"
['carbamazepine'],[],"[(None, None, None)]"
['fluvoxamine'],['increased libido'],"[('fluvoxamine', 'increased libido', np.float32(0.90154994))]"
['levodopa'],['augmentation'],"[('levodopa', 'augmentation', np.float32(0.9683846))]"
[],[],"[(None, None, None)]"
"['diazepam', 'alprazolam']",['withdrawal delirium'],"[('diazepam', 'withdrawal delirium', np.float32(0.9653886)), ('alprazolam', 'withdrawal delirium', np.float32(0.96004635))]"
['thalidomide'],['sustained ventricular tachycardia'],"[('thalidomide', 'sustained ventricular tachycardia', np.float32(0.76783806))]"
['valproate'],['severe hypotension'],"[('valproate', 'severe hypotension', np.float32(0.7591655))]"
['capecitabine'],[],"[(None, None, None)]"
['m-csf'],['nephrotic syndrome'],"[('m-csf', 'nephrotic syndrome', None)]"
"['ribavirin', 'pegylated interferon alpha-2a']",['celiac disease'],"[('ribavirin', 'celiac disease', np.float32(0.6803766)), ('pegylated interferon alpha-2a', 'celiac disease', np.float32(0.69751495))]"
[],"['central pontine myelinolysis', 'lithium toxicity']","[(None, None, None)]"
['naloxone'],['generalized tonic-clonic seizure'],"[('naloxone', 'generalized tonic-clonic seizure', np.float32(0.78416747))]"
[],"['concomitant beta-adrenergic blockade', 'hypotension']","[(None, None, None)]"
['tmp-sx'],[],"[(None, None, None)]"
[],['cutaneous vasculitis'],"[(None, None, None)]"
['calcipotriol'],['irritant contact dermatitis'],"[('calcipotriol', 'irritant contact dermatitis', np.float32(0.942743))]"
['ergonovine'],['spasm'],"[('ergonovine', 'spasm', np.float32(0.97171146))]"
['propranolol'],[],"[(None, None, None)]"
['risperidone'],['neuroleptic malignant syndrome'],"[('risperidone', 'neuroleptic malignant syndrome', np.float32(0.7237776))]"
['nifedipine'],['cerebral arterial aneurysm'],"[('nifedipine', 'cerebral arterial aneurysm', np.float32(0.9842419))]"
['methadone'],['myoclonus'],"[('methadone', 'myoclonus', np.float32(0.96707404))]"
['phenytoin'],[],"[(None, None, None)]"
['busulfan'],['thrombosis'],"[('busulfan', 'thrombosis', np.float32(0.90097594))]"
[],['neutrophilic dermatoses'],"[(None, None, None)]"
['trastuzumab'],['plural effusion dyspnoea'],"[('trastuzumab', 'plural effusion dyspnoea', np.float32(0.9488955))]"
"['clarithromycin', 'carbamazepine']",[],"[(None, None, None)]"
"['5-fu', 'thymidine']","['neurologic symptoms', 'encephalopathy', 'coma']","[('5-fu', 'neurologic symptoms', None), ('5-fu', 'encephalopathy', None), ('5-fu', 'coma', None), ('thymidine', 'neurologic symptoms', np.float32(0.75539094)), ('thymidine', 'encephalopathy', np.float32(0.8397268)), ('thymidine', 'coma', np.float32(0.8582617))]"
['methotrexate'],['neurotoxicity'],"[('methotrexate', 'neurotoxicity', np.float32(0.7509649))]"
"['ketoconazole', 'allopurinol', 'meglumine antimoniate']",['pancreatitis'],"[('ketoconazole', 'pancreatitis', np.float32(0.81960034)), ('allopurinol', 'pancreatitis', np.float32(0.8843981)), ('meglumine antimoniate', 'pancreatitis', np.float32(0.8300075))]"
['flecainide'],['cardiovascular collapse'],"[('flecainide', 'cardiovascular collapse', np.float32(0.9937548))]"
"['5-fu', '5-fluorouracil']",['lethal adverse reactions'],"[('5-fu', 'lethal adverse reactions', None), ('5-fluorouracil', 'lethal adverse reactions', None)]"
"['methamphetamine', 'lidocaine']",['keratitis'],"[('methamphetamine', 'keratitis', np.float32(0.96580243)), ('lidocaine', 'keratitis', np.float32(0.96183723))]"
['sirolimus'],[],"[(None, None, None)]"
['clindamycin'],['vanishing bile duct syndrome'],"[('clindamycin', 'vanishing bile duct syndrome', np.float32(0.79899323))]"
['amantadine'],['exacerbation of schizophrenia'],"[('amantadine', 'exacerbation of schizophrenia', np.float32(0.9130714))]"
['pirmenol'],['qt prolongation'],"[('pirmenol', 'qt prolongation', np.float32(0.96842873))]"
[],['hus'],"[(None, None, None)]"
['mizoribin'],['siadh'],"[('mizoribin', 'siadh', np.float32(0.91537714))]"
['olanzapine'],['camptocormia'],"[('olanzapine', 'camptocormia', np.float32(0.8514121))]"
['phenytoin'],['cardiopulmonary arrest'],"[('phenytoin', 'cardiopulmonary arrest', np.float32(0.9000437))]"
[],['psychosis'],"[(None, None, None)]"
['bevacizumab'],['painless infectious endophthalmitis'],"[('bevacizumab', 'painless infectious endophthalmitis', np.float32(0.8927592))]"
['nitrofurantoin'],['respiratory symptoms'],"[('nitrofurantoin', 'respiratory symptoms', np.float32(0.687821))]"
['amiodarone'],['cerebellar syndrome'],"[('amiodarone', 'cerebellar syndrome', np.float32(0.6605353))]"
[],['interstitial pulmonary fibrosis'],"[(None, None, None)]"
['vancomycin'],['anaphylaxis'],"[('vancomycin', 'anaphylaxis', np.float32(0.91849494))]"
[],['asthma'],"[(None, None, None)]"
[],['hepatotoxicity'],"[(None, None, None)]"
['gentamicin'],['renal failure'],"[('gentamicin', 'renal failure', np.float32(0.73315156))]"
['methotrexate'],['hepatotoxicity'],"[('methotrexate', 'hepatotoxicity', np.float32(0.7148236))]"
"['phenobarbital', 'fluoresone', 'phenytoin']",['gynecomastia'],"[('phenobarbital', 'gynecomastia', np.float32(0.95912856)), ('fluoresone', 'gynecomastia', np.float32(0.99119025)), ('phenytoin', 'gynecomastia', np.float32(0.8611404))]"
['goserelin acetate'],['flare-up'],"[('goserelin acetate', 'flare-up', None)]"
['mineral oil'],['roentgenographic abnormalities'],"[('mineral oil', 'roentgenographic abnormalities', np.float32(0.9550174))]"
"['insulin', 'ifn']",[],"[(None, None, None)]"
['pamidronate'],[],"[(None, None, None)]"
[],"['dress', 'acute kidney injury']","[(None, None, None)]"
['desipramine'],[],"[(None, None, None)]"
"['venlafaxine', 'sertraline', 'paroxetine']",['incontinence'],"[('venlafaxine', 'incontinence', np.float32(0.8749589)), ('sertraline', 'incontinence', np.float32(0.80727917)), ('paroxetine', 'incontinence', np.float32(0.9557075))]"
"['zyprexa', 'olanzapine']","['neutropenia', 'agranulocytosis']","[('zyprexa', 'neutropenia', np.float32(0.92685705)), ('zyprexa', 'agranulocytosis', np.float32(0.84897095)), ('olanzapine', 'neutropenia', np.float32(0.7996857)), ('olanzapine', 'agranulocytosis', np.float32(0.7683917))]"
['bevacizumab'],['nasal septal perforation'],"[('bevacizumab', 'nasal septal perforation', np.float32(0.9341216))]"
[],['asthma'],"[(None, None, None)]"
[],['thrombocytopenia'],"[(None, None, None)]"
['oxaliplatin'],['dat-positive hemolytic episode'],"[('oxaliplatin', 'dat-positive hemolytic episode', np.float32(0.7489441))]"
[],['ductopenia'],"[(None, None, None)]"
['triamcinolone acetate'],['glaucoma'],"[('triamcinolone acetate', 'glaucoma', np.float32(0.9531356))]"
"['cisplatinum', 'vinblastine', 'bleomycin']",[],"[(None, None, None)]"
['lithium'],['neurotoxicity'],"[('lithium', 'neurotoxicity', np.float32(0.8171193))]"
"['risperidone', 'clozapine']","['gastrostomy', 'worsening parkinsonism', 'feeding gastrostomy']","[('risperidone', 'gastrostomy', np.float32(0.90885204)), ('risperidone', 'worsening parkinsonism', np.float32(0.8743315)), ('risperidone', 'feeding gastrostomy', np.float32(0.9010275)), ('clozapine', 'gastrostomy', np.float32(0.80564916)), ('clozapine', 'worsening parkinsonism', np.float32(0.801116)), ('clozapine', 'feeding gastrostomy', np.float32(0.7965866))]"
"['disopyramide', 'amiodarone', 'quinidine']",['arrhythmia'],"[('disopyramide', 'arrhythmia', np.float32(0.96132034)), ('amiodarone', 'arrhythmia', np.float32(0.8565789)), ('quinidine', 'arrhythmia', np.float32(0.9755961))]"
['bevacizumab'],['spontaneous nasal septal perforation'],"[('bevacizumab', 'spontaneous nasal septal perforation', np.float32(0.932953))]"
['sertraline'],['rhabdomyolysis'],"[('sertraline', 'rhabdomyolysis', np.float32(0.69156665))]"
[],['fulminant hepatitis'],"[(None, None, None)]"
[],[],"[(None, None, None)]"
"['methotrexate', 'mtx']","['cirrhosis', 'fibrosis']","[('methotrexate', 'cirrhosis', np.float32(0.7005909)), ('methotrexate', 'fibrosis', np.float32(0.6738106)), ('mtx', 'cirrhosis', np.float32(0.814049)), ('mtx', 'fibrosis', np.float32(0.77621543))]"
['choline magnesium trisalicylate'],['hepatotoxicity'],"[('choline magnesium trisalicylate', 'hepatotoxicity', np.float32(0.8517518))]"
['cyclosporine'],['hypersensitivity reactions'],"[('cyclosporine', 'hypersensitivity reactions', np.float32(0.75678545))]"
['verapamil'],['asthma attack'],"[('verapamil', 'asthma attack', np.float32(0.711876))]"
['isoniazid'],['psychotic disorder'],"[('isoniazid', 'psychotic disorder', np.float32(0.93188345))]"
['ciprofloxacin'],['acute renal insufficiency'],"[('ciprofloxacin', 'acute renal insufficiency', np.float32(0.7342605))]"
['tmp-sx'],[],"[(None, None, None)]"
[],['hypothyroidism'],"[(None, None, None)]"
['haloperidol'],['wes'],"[('haloperidol', 'wes', np.float32(0.95869255))]"
[],['psoriasis'],"[(None, None, None)]"
['5-fluorouracil'],['glaucoma'],"[('5-fluorouracil', 'glaucoma', None)]"
"['interferon-alpha', 'levodopa']","['refractory akathisia', 'neurotoxicity']","[('interferon-alpha', 'refractory akathisia', None), ('interferon-alpha', 'neurotoxicity', None), ('levodopa', 'refractory akathisia', np.float32(0.83529645)), ('levodopa', 'neurotoxicity', np.float32(0.77199316))]"
[],['fixed drug eruption'],"[(None, None, None)]"
['albendazole'],['fever'],"[('albendazole', 'fever', np.float32(0.6280686))]"
['gabapentin'],[],"[(None, None, None)]"
['trimethoprim-sulfamethoxazole'],[],"[(None, None, None)]"
['ziprasidone'],['td'],"[('ziprasidone', 'td', np.float32(0.97546506))]"
['furosemide'],['fever'],"[('furosemide', 'fever', np.float32(0.63308877))]"
['enoxaparin'],['thrombocytosis'],"[('enoxaparin', 'thrombocytosis', np.float32(0.98516804))]"
['methotrexate'],['neurotoxicity'],"[('methotrexate', 'neurotoxicity', np.float32(0.7509649))]"
['diltiazem'],['fever'],"[('diltiazem', 'fever', np.float32(0.64869297))]"
"['cisplatin', 'etoposide']",['paroxysmal supraventricular tachycardia'],"[('cisplatin', 'paroxysmal supraventricular tachycardia', np.float32(0.63855815)), ('etoposide', 'paroxysmal supraventricular tachycardia', np.float32(0.8455761))]"
['danazol'],['thrombocytopenia'],"[('danazol', 'thrombocytopenia', np.float32(0.78347504))]"
"['lithium', 'olanzapine']",['nms'],"[('lithium', 'nms', np.float32(0.7080541)), ('olanzapine', 'nms', np.float32(0.80277616))]"
[],['hyponatremia'],"[(None, None, None)]"
"['csa', 'cyclosporine']",['pres'],"[('csa', 'pres', np.float32(0.92768276)), ('cyclosporine', 'pres', np.float32(0.9090435))]"
['rifampin'],"['hepatitis', 'thrombocytopenia']","[('rifampin', 'hepatitis', np.float32(0.61189073)), ('rifampin', 'thrombocytopenia', np.float32(0.80848944))]"
['cyclosporine'],['hypersensitivity reactions'],"[('cyclosporine', 'hypersensitivity reactions', np.float32(0.75678545))]"
['lithium carbonate'],['renal damage'],"[('lithium carbonate', 'renal damage', np.float32(0.7527229))]"
['methotrexate'],['aseptic pleuropericarditis'],"[('methotrexate', 'aseptic pleuropericarditis', np.float32(0.6065821))]"
['insulin'],['allergic symptoms'],"[('insulin', 'allergic symptoms', np.float32(0.7637318))]"
"['interleukin-2', 'interferon-alpha']",['progressive anemia'],"[('interleukin-2', 'progressive anemia', np.float32(0.7945511)), ('interferon-alpha', 'progressive anemia', None)]"
"['dipyrone', 'metamizole']",['agranulocytosis'],"[('dipyrone', 'agranulocytosis', np.float32(0.8445974)), ('metamizole', 'agranulocytosis', np.float32(0.8473945))]"
['ara-c'],['bullous lesions'],"[('ara-c', 'bullous lesions', None)]"
['acyclovir'],[],"[(None, None, None)]"
['cefmenoxime'],['disulfiram-like reaction'],"[('cefmenoxime', 'disulfiram-like reaction', np.float32(0.6146478))]"
['rifampicin'],['pemphigus foliaceus'],"[('rifampicin', 'pemphigus foliaceus', np.float32(0.932079))]"
['ifosfamide'],['fanconi syndrome'],"[('ifosfamide', 'fanconi syndrome', np.float32(0.6846918))]"
['metoclopramide'],[],"[(None, None, None)]"
"['chlorpromazine', 'mequitazine']","['erythema', 'erythematous macule']","[('chlorpromazine', 'erythema', np.float32(0.73080486)), ('chlorpromazine', 'erythematous macule', np.float32(0.99387187)), ('mequitazine', 'erythema', np.float32(0.60395014)), ('mequitazine', 'erythematous macule', np.float32(0.79191905))]"
['ethanolamine oleate'],['noncardiogenic pulmonary edema'],"[('ethanolamine oleate', 'noncardiogenic pulmonary edema', np.float32(0.8817864))]"
['methotrexate'],[],"[(None, None, None)]"
[],['crystalluria'],"[(None, None, None)]"
['infliximab'],[],"[(None, None, None)]"
['tegaserod'],['ischemic colitis'],"[('tegaserod', 'ischemic colitis', np.float32(0.97894293))]"
['norethisterone'],"['masculinization of a female fetus', 'clitoral hypertrophy']","[('norethisterone', 'masculinization of a female fetus', np.float32(0.8590219)), ('norethisterone', 'clitoral hypertrophy', np.float32(0.9907489))]"
['clozapine'],[],"[(None, None, None)]"
"['bimatoprost', 'latanoprost']",['cystoid macular edema'],"[('bimatoprost', 'cystoid macular edema', np.float32(0.9310938)), ('latanoprost', 'cystoid macular edema', np.float32(0.9305497))]"
['acyclovir'],['lithium toxicity'],"[('acyclovir', 'lithium toxicity', np.float32(0.8383609))]"
['pyridostigmine bromide'],['bromide intoxication'],"[('pyridostigmine bromide', 'bromide intoxication', np.float32(0.9581177))]"
['foscarnet'],[],"[(None, None, None)]"
['anti-d igiv'],['dic'],"[('anti-d igiv', 'dic', np.float32(0.94405097))]"
['cephalosporin'],[],"[(None, None, None)]"
['hdarac'],[],"[(None, None, None)]"
['propranolol'],['syncope'],"[('propranolol', 'syncope', np.float32(0.9475192))]"
['phenytoin'],['purple glove syndrome'],"[('phenytoin', 'purple glove syndrome', np.float32(0.77482665))]"
