text,drug,effect,indexes
"colchicine-induced rhabdomyolysis is a rare complication, and the postulated mechanisms and risk factors for this severe complication are discussed",colchicine,rhabdomyolysis,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([10], dtype=int32)}, 'effect': {'start_char': array([19], dtype=int32), 'end_char': array([33], dtype=int32)}}"
we report the occurrence of renal failure due to cholesterol crystal embolization following thrombolytic therapy with intravenous recombinant tissue-type plasminogen activator (t-pa,t-pa,cholesterol crystal embolization,"{'drug': {'start_char': array([177], dtype=int32), 'end_char': array([181], dtype=int32)}, 'effect': {'start_char': array([49], dtype=int32), 'end_char': array([81], dtype=int32)}}"
an adolescent male developed acute pancreatitis and pseudocyst of the pancreas 16 weeks after cessation of intramuscular l-asparaginase,l-asparaginase,acute pancreatitis,"{'drug': {'start_char': array([121], dtype=int32), 'end_char': array([135], dtype=int32)}, 'effect': {'start_char': array([29], dtype=int32), 'end_char': array([47], dtype=int32)}}"
"in addition to its known effect on gallbladder stasis, octreotide alters bile acid composition and may thus hasten intrahepatic sludge and stone formation",octreotide,stone formation,"{'drug': {'start_char': array([55], dtype=int32), 'end_char': array([65], dtype=int32)}, 'effect': {'start_char': array([139], dtype=int32), 'end_char': array([154], dtype=int32)}}"
"when sasp was changed to 5-aminosalicylic acid (5-asa), his skin eruptions were resolved, however, he developed weakness and atrophy in his right arm as well as progressive worsening of the dysesthesia in his legs and gait disturbance",5-aminosalicylic acid,weakness,"{'drug': {'start_char': array([25], dtype=int32), 'end_char': array([46], dtype=int32)}, 'effect': {'start_char': array([112], dtype=int32), 'end_char': array([120], dtype=int32)}}"
isotretinoin teratogenicity,isotretinoin,teratogenicity,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([12], dtype=int32)}, 'effect': {'start_char': array([13], dtype=int32), 'end_char': array([27], dtype=int32)}}"
"although gabapentin withdrawal has been previously reported and usually consists of anxiety, diaphoresis, and palpitations, this is the first reported patient with generalized seizures and status epilepticus secondary to gabapentin withdrawal",gabapentin,generalized seizures,"{'drug': {'start_char': array([  9, 221], dtype=int32), 'end_char': array([ 19, 231], dtype=int32)}, 'effect': {'start_char': array([164], dtype=int32), 'end_char': array([184], dtype=int32)}}"
"the more common grade 3 or 4 adverse effects of sunitinib include hypertension, fatigue, hand-foot syndrome, elevated lipase and lymphopenia",sunitinib,fatigue,"{'drug': {'start_char': array([48], dtype=int32), 'end_char': array([57], dtype=int32)}, 'effect': {'start_char': array([80], dtype=int32), 'end_char': array([87], dtype=int32)}}"
haemolytic-uraemic syndrome complicating long-term mitomycin c and 5-fluorouracil therapy for gastric carcinoma,5-fluorouracil,haemolytic-uraemic syndrome,"{'drug': {'start_char': array([67], dtype=int32), 'end_char': array([81], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([27], dtype=int32)}}"
the medical examiner's report indicated death caused by fluoxetine toxicity,fluoxetine,death,"{'drug': {'start_char': array([56], dtype=int32), 'end_char': array([66], dtype=int32)}, 'effect': {'start_char': array([40], dtype=int32), 'end_char': array([45], dtype=int32)}}"
indinavir-associated nephrolithiasis and chronic interstitial nephritis were the only possible causes identified in this patient,indinavir,nephrolithiasis,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([9], dtype=int32)}, 'effect': {'start_char': array([21], dtype=int32), 'end_char': array([36], dtype=int32)}}"
"reye-like syndrome following treatment with the pantothenic acid antagonist, calcium hopantenate",calcium hopantenate,reye-like syndrome,"{'drug': {'start_char': array([77], dtype=int32), 'end_char': array([96], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([18], dtype=int32)}}"
"hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction",aspirin,urticaria,"{'drug': {'start_char': array([20], dtype=int32), 'end_char': array([27], dtype=int32)}, 'effect': {'start_char': array([63], dtype=int32), 'end_char': array([72], dtype=int32)}}"
we present a 46-year-old african-american man with aids who was admitted on two different occasions within three weeks for signs and symptoms of meningitis after using trimethoprim/sulfamethoxazole (tmp/smx,smx,meningitis,"{'drug': {'start_char': array([203], dtype=int32), 'end_char': array([206], dtype=int32)}, 'effect': {'start_char': array([145], dtype=int32), 'end_char': array([155], dtype=int32)}}"
prenatal cytomegalovirus (cmv) infection associated with severe brain damage was detected in an infant whose mother had been treated with prednisolone and azathioprine for systemic lupus erythematosus (sle,azathioprine,brain damage,"{'drug': {'start_char': array([155], dtype=int32), 'end_char': array([167], dtype=int32)}, 'effect': {'start_char': array([64], dtype=int32), 'end_char': array([76], dtype=int32)}}"
"acute interstitial pneumonia induced by ono-1078 (pranlukast), a leukotriene receptor antagonist",ono-1078,interstitial pneumonia,"{'drug': {'start_char': array([40], dtype=int32), 'end_char': array([48], dtype=int32)}, 'effect': {'start_char': array([6], dtype=int32), 'end_char': array([28], dtype=int32)}}"
"a 64 year old man with recurrent metastatic squamous cell carcinoma of the head and neck developed severe skin rash and bone marrow aplasia 4 and 7 days, respectively, following a single dose of 40 mg/m2 methotrexate (mtx",mtx,severe skin rash,"{'drug': {'start_char': array([218], dtype=int32), 'end_char': array([221], dtype=int32)}, 'effect': {'start_char': array([99], dtype=int32), 'end_char': array([115], dtype=int32)}}"
"three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack",cilastatin,seizure,"{'drug': {'start_char': array([ 63, 127], dtype=int32), 'end_char': array([ 73, 137], dtype=int32)}, 'effect': {'start_char': array([100, 172], dtype=int32), 'end_char': array([107, 179], dtype=int32)}}"
a teenage girl with crescentic glomerulonephritis had antineutrophil cytoplasmic antibody (anca) detected after she had received propylthiouracil (ptu) for hyperthyroidism without cutaneous vasculitis,ptu,antineutrophil cytoplasmic antibody,"{'drug': {'start_char': array([147], dtype=int32), 'end_char': array([150], dtype=int32)}, 'effect': {'start_char': array([54], dtype=int32), 'end_char': array([89], dtype=int32)}}"
"conclusion: the new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia",grepafloxacin,insomnia,"{'drug': {'start_char': array([71], dtype=int32), 'end_char': array([84], dtype=int32)}, 'effect': {'start_char': array([285], dtype=int32), 'end_char': array([293], dtype=int32)}}"
cardiomyopathy after widely separated courses of adriamycin exacerbated by actinomycin-d and mithramycin,mithramycin,cardiomyopathy,"{'drug': {'start_char': array([93], dtype=int32), 'end_char': array([104], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([14], dtype=int32)}}"
"prior to surgery, levodopa induced dyskinesia had improved (< or = 50%) under treatment with amantadine (400 mg/day, po) in all three patients",levodopa,dyskinesia,"{'drug': {'start_char': array([18], dtype=int32), 'end_char': array([26], dtype=int32)}, 'effect': {'start_char': array([35], dtype=int32), 'end_char': array([45], dtype=int32)}}"
hyponatraemia developed after rechallenge with controlled release carbamazepine,carbamazepine,hyponatraemia,"{'drug': {'start_char': array([66], dtype=int32), 'end_char': array([79], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([13], dtype=int32)}}"
"a patient receiving vancomycin for a serious staphylococcal infection had a lupus-like syndrome characterized by a malar rash, pain and erythema of the cartilage of both ears, and tender erythematous and hemorrhagic lesions of the finger tips",vancomycin,tender erythematous,"{'drug': {'start_char': array([20], dtype=int32), 'end_char': array([30], dtype=int32)}, 'effect': {'start_char': array([180], dtype=int32), 'end_char': array([199], dtype=int32)}}"
"a 36-year-old man being treated with cisplatinum, vinblastine, and bleomycin for testicular carcinoma developed a dense left homonymous hemianopsia, encephalopathy, and a partial nondominant parietal lobe syndrome",vinblastine,left homonymous hemianopsia,"{'drug': {'start_char': array([50], dtype=int32), 'end_char': array([61], dtype=int32)}, 'effect': {'start_char': array([120], dtype=int32), 'end_char': array([147], dtype=int32)}}"
clozapine induced polyserositis,clozapine,polyserositis,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([9], dtype=int32)}, 'effect': {'start_char': array([18], dtype=int32), 'end_char': array([31], dtype=int32)}}"
we have reported six cases of metoclopramide-induced parkinsonism seen in consultation over a two-year period,metoclopramide,parkinsonism,"{'drug': {'start_char': array([30], dtype=int32), 'end_char': array([44], dtype=int32)}, 'effect': {'start_char': array([53], dtype=int32), 'end_char': array([65], dtype=int32)}}"
"fatal pulmonary fibrosis following 1,3-bis(2-chloroethyl)-1-nitrosourea (bcnu) therapy","1,3-bis(2-chloroethyl)-1-nitrosourea",fatal pulmonary fibrosis,"{'drug': {'start_char': array([], dtype=int32), 'end_char': array([], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([24], dtype=int32)}}"
"the mechanism of anaphylactoid reaction to zomepirac in this case, therefore, remains unclear",zomepirac,anaphylactoid reaction,"{'drug': {'start_char': array([43], dtype=int32), 'end_char': array([52], dtype=int32)}, 'effect': {'start_char': array([17], dtype=int32), 'end_char': array([39], dtype=int32)}}"
"toxicity, pharmacokinetics, and in vitro hemodialysis clearance of ifosfamide and metabolites in an anephric pediatric patient with wilms' tumor",ifosfamide,toxicity,"{'drug': {'start_char': array([67], dtype=int32), 'end_char': array([77], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([8], dtype=int32)}}"
"in addition, there is a report on prolonged ect seizure related to ciprofloxacin, which has an epileptogenic property with a similar action to beta-lactam antibiotics",ciprofloxacin,prolonged ect seizure,"{'drug': {'start_char': array([67], dtype=int32), 'end_char': array([80], dtype=int32)}, 'effect': {'start_char': array([34], dtype=int32), 'end_char': array([55], dtype=int32)}}"
"to treat hepatitis b, interferon alpha was administered until the proximal muscle weakness developed",interferon alpha,muscle weakness,"{'drug': {'start_char': array([22], dtype=int32), 'end_char': array([38], dtype=int32)}, 'effect': {'start_char': array([75], dtype=int32), 'end_char': array([90], dtype=int32)}}"
"it was highly suspected that finasteride was associated with the anterior subcapsular opacity on the lens, and the patient therefore discontinued use of finasteride",finasteride,anterior subcapsular opacity on the lens,"{'drug': {'start_char': array([ 29, 153], dtype=int32), 'end_char': array([ 40, 164], dtype=int32)}, 'effect': {'start_char': array([65], dtype=int32), 'end_char': array([105], dtype=int32)}}"
